Employment,Country,EdLevel,Age,Gender,YearsCodePro,Salary
3.0,12.0,0.0,2.0,0.0,14.0,101244.0
1.0,1.0,8.0,1.0,0.0,4.0,38713.0
1.0,16.0,1.0,0.0,2.0,0.5,19572.0
1.0,11.0,1.0,1.0,0.0,8.0,52776.0
1.0,10.0,1.0,2.0,0.0,14.0,39996.0
1.0,5.0,3.0,1.0,2.0,2.0,18150.0
1.0,16.0,1.0,1.0,0.0,12.0,16728.0
1.0,16.0,8.0,1.0,1.0,10.0,54036.0
1.0,14.0,1.0,1.0,0.0,9.0,51704.0
1.0,6.0,3.0,1.0,0.0,0.5,24863.0
1.0,3.0,3.0,1.0,1.0,5.0,60535.0
1.0,16.0,2.0,2.0,0.0,10.0,41568.0
0.0,3.0,3.0,1.0,0.0,5.0,4850.0
1.0,14.0,1.0,1.0,1.0,10.0,65922.0
1.0,5.0,1.0,1.0,0.0,12.0,37417.0
1.0,1.0,3.0,1.0,0.0,13.0,21996.0
0.0,16.0,7.0,0.0,1.0,2.0,9732.0
1.0,12.0,3.0,1.0,0.0,4.0,101649.0
0.0,2.0,1.0,4.0,1.0,5.0,22692.0
1.0,15.0,1.0,1.0,0.0,3.0,170000.0
1.0,16.0,1.0,1.0,0.0,5.0,34596.0
1.0,15.0,1.0,0.0,0.0,3.0,79000.0
1.0,0.0,3.0,2.0,0.0,8.0,100214.0
1.0,16.0,5.0,3.0,0.0,20.0,19392.0
1.0,1.0,1.0,1.0,0.0,5.0,22907.0
1.0,16.0,1.0,1.0,0.0,6.0,48000.0
1.0,5.0,1.0,0.0,0.0,1.0,12566.0
1.0,2.0,8.0,3.0,0.0,20.0,68068.0
1.0,1.0,1.0,1.0,0.0,9.0,54793.0
1.0,5.0,1.0,0.0,0.0,2.0,18848.0
1.0,15.0,8.0,1.0,0.0,4.0,105000.0
1.0,16.0,3.0,1.0,0.0,12.0,88800.0
1.0,14.0,1.0,1.0,0.0,2.0,33607.0
1.0,15.0,3.0,1.0,0.0,4.0,155000.0
1.0,16.0,1.0,1.0,0.0,5.0,51228.0
1.0,15.0,1.0,1.0,0.0,6.0,140000.0
1.0,0.0,8.0,1.0,0.0,6.0,56788.0
0.0,16.0,8.0,3.0,0.0,28.0,103776.0
1.0,16.0,1.0,2.0,0.0,11.0,71340.0
1.0,16.0,1.0,1.0,0.0,3.0,54049.0
1.0,15.0,0.0,1.0,0.0,10.0,98000.0
1.0,7.0,3.0,2.0,0.0,20.0,41508.0
1.0,15.0,8.0,1.0,0.0,7.0,88000.0
1.0,5.0,1.0,0.0,0.0,0.5,16754.0
1.0,16.0,1.0,2.0,0.0,11.0,36036.0
1.0,5.0,3.0,2.0,0.0,12.0,25410.0
1.0,16.0,3.0,0.0,0.0,2.0,24468.0
1.0,15.0,1.0,1.0,0.0,10.0,174000.0
0.0,5.0,1.0,1.0,0.0,10.0,86328.0
1.0,16.0,1.0,0.0,0.0,0.5,13068.0
0.0,16.0,8.0,0.0,0.0,1.0,102224.0
1.0,5.0,1.0,1.0,0.0,7.0,13956.0
1.0,15.0,1.0,1.0,0.0,0.5,160000.0
1.0,16.0,6.0,1.0,0.0,2.0,14916.0
1.0,5.0,3.0,3.0,0.0,21.0,90751.0
1.0,4.0,1.0,1.0,0.0,6.0,58373.0
1.0,7.0,0.0,2.0,0.0,22.0,58368.0
1.0,15.0,3.0,1.0,0.0,5.0,125000.0
1.0,3.0,3.0,1.0,0.0,4.0,45401.0
1.0,3.0,1.0,2.0,0.0,10.0,81050.0
1.0,16.0,1.0,0.0,0.0,1.0,6636.0
1.0,14.0,1.0,0.0,0.0,3.0,77556.0
0.0,4.0,3.0,4.0,0.0,37.0,162150.0
1.0,5.0,1.0,1.0,0.0,3.0,192672.0
1.0,14.0,8.0,2.0,0.0,11.0,62045.0
1.0,14.0,3.0,3.0,0.0,26.0,129259.0
1.0,15.0,1.0,1.0,0.0,4.0,108964.0
1.0,5.0,1.0,1.0,0.0,9.0,18432.0
1.0,10.0,1.0,2.0,0.0,9.0,45401.0
1.0,16.0,3.0,1.0,0.0,6.0,23352.0
1.0,1.0,1.0,2.0,0.0,11.0,23424.0
1.0,16.0,3.0,2.0,0.0,12.0,113503.0
1.0,16.0,3.0,0.0,0.0,11.0,57000.0
1.0,14.0,3.0,1.0,0.0,4.0,58167.0
1.0,3.0,3.0,0.0,0.0,5.0,30916.0
1.0,16.0,1.0,1.0,0.0,7.0,65816.0
1.0,16.0,1.0,0.0,0.0,3.0,17520.0
1.0,16.0,1.0,1.0,0.0,2.0,28416.0
1.0,16.0,1.0,2.0,0.0,12.0,23076.0
1.0,13.0,1.0,0.0,0.0,1.0,9864.0
1.0,5.0,1.0,1.0,0.0,6.0,44678.0
1.0,15.0,3.0,1.0,0.0,8.0,140000.0
1.0,16.0,3.0,2.0,0.0,10.0,31128.0
1.0,16.0,8.0,3.0,0.0,24.0,35972.0
1.0,13.0,1.0,2.0,0.0,13.0,21696.0
